OBJECTID,Leg_Name,LegB_Name,Active_ind,In_Effect_Desc,Shape.STLength()
318,Umatilla National Forest Boundary,,,April 1 2026 to March 31 2027,18660.55792732341
319,Rainwater Wildlife Area Boundary - Owned by the Umatilla Tribe,,,April 1 2026 to March 31 2027,2.541443070524994
320,Mount Pleasant Road,Rainwater Wildlife Area boundary,,April 1 2026 to March 31 2027,7787.193734377466
321,Rainwater Wildlife Area Boundary - Owned by the Umatilla Tribe,,,April 1 2026 to March 31 2027,25165.497854598118
322,Rainwater Wildlife Area Boundary - Owned by the Umatilla Tribe,,,April 1 2026 to March 31 2027,68979.61765533405
323,Jasper Mountain Road,0,,April 1 2026 to March 31 2027,28865.540660570594
324,Mount Pleasant Road,0,,April 1 2026 to March 31 2027,13734.254268777971
325,Rainwater Wildlife Area Boundary - Owned by the Umatilla Tribe,,,April 1 2026 to March 31 2027,10641.976546148877
326,Snohomish River,,,April 1 2026 to March 31 2027,113067.90239683565
327,SE 82nd St,SE High Point Way,,April 1 2026 to March 31 2027,53.14477702044354
328,SE 82nd St,SE High Point Way,,April 1 2026 to March 31 2027,801.0132924451966
329,SE 82nd St,SE High Point Way,,April 1 2026 to March 31 2027,203.11553395560634
330,SE 82nd St,SE High Point Way,,April 1 2026 to March 31 2027,307.96471613724117
331,SE 82nd St,SE High Point Way,,April 1 2026 to March 31 2027,1830.51155071138
332,SR-18,,,April 1 2026 to March 31 2027,149968.2298535861
333,I-90,,,April 1 2026 to March 31 2027,16309.411565277916
334,Pierce-King County Line,,,April 1 2026 to March 31 2027,55315.88589907989
335,King-Kitsap County Line,,,April 1 2026 to March 31 2027,147383.12424643387
336,Snohomish-Kitsap County LIne,,,April 1 2026 to March 31 2027,18753.475358836353
337,Gedney Island (Northern-most Point) - Mouth of the SNohomish River,,,April 1 2026 to March 31 2027,26416.544753453436
338,Snohomish-Island County Line,,,April 1 2026 to March 31 2027,79255.8312505311
339,Snohomish County Line - Gedney Island (Northern-most Point),,,April 1 2026 to March 31 2027,5780.85671252915
340,SR-203,,,April 1 2026 to March 31 2027,79467.54847590349
341,NE Woodinville-Duvall Rd,,,April 1 2026 to March 31 2027,543.7865681630007
342,Snoqualmie River,,,April 1 2026 to March 31 2027,47661.77465553804
343,,Preston Fall City Rd SE,,April 1 2026 to March 31 2027,20951.201630997828
344,SR-202,,,April 1 2026 to March 31 2027,621.6810892264685
345,SR-99,,,April 1 2026 to March 31 2027,17007.92296767322
346,SR-509,,,April 1 2026 to March 31 2027,346.62108261712973
347,Redondo Way S,,,April 1 2026 to March 31 2027,5859.813820198041
348,Line of Sight - Redondo Beach - King-Piece County Line,,,April 1 2026 to March 31 2027,28372.360126237934
